Unnamed: 0,title,year,certificate,time,genre,rating,metascore,simple_desc,votes,directors,actors
0,"1.
The Shawshank Redemption
(1994)",(1994),R,142 min,Drama,9.3,"82        
        Metascore","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","Votes:
2,726,358
| Gross:
$28.34M
| Top 250:
#1",Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
1,"2.
The Godfather
(1972)",(1972),R,175 min,"Crime, Drama",9.2,"100        
        Metascore",The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Votes:
1,895,352
| Gross:
$134.97M
| Top 250:
#2",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
2,"3.
The Dark Knight
(2008)",(2008),PG-13,152 min,"Action, Crime, Drama",9.0,"84        
        Metascore","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Votes:
2,699,260
| Gross:
$534.86M
| Top 250:
#3",Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
3,"4.
Schindler's List
(1993)",(1993),R,195 min,"Biography, Drama, History",9.0,"95        
        Metascore","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Votes:
1,376,760
| Gross:
$96.90M
| Top 250:
#6",Oskar Schindler,"['Steven Spielberg', 'Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']"
4,"5.
The Lord of the Rings: The Return of the King
(2003)",(2003),PG-13,201 min,"Action, Adventure, Drama",9.0,"94        
        Metascore",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Votes:
1,875,538
| Gross:
$377.85M
| Top 250:
#7",Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
5,"6.
12 Angry Men
(1957)",(1957),Approved,96 min,"Crime, Drama",9.0,"97        
        Metascore",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Votes:
806,308
| Gross:
$4.36M
| Top 250:
#5",Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
6,"7.
The Godfather Part II
(1974)",(1974),R,202 min,"Crime, Drama",9.0,"90        
        Metascore","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Votes:
1,292,508
| Gross:
$57.30M
| Top 250:
#4",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']"
7,"8.
Pulp Fiction
(1994)",(1994),R,154 min,"Crime, Drama",8.9,"95        
        Metascore","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Votes:
2,094,437
| Gross:
$107.93M
| Top 250:
#8",Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
8,"9.
Inception
(2010)",(2010),PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"74        
        Metascore","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Votes:
2,395,681
| Gross:
$292.58M
| Top 250:
#14",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
9,"10.
The Lord of the Rings: The Fellowship of the Ring
(2001)",(2001),PG-13,178 min,"Action, Adventure, Drama",8.8,"92        
        Metascore",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Votes:
1,904,662
| Gross:
$315.54M
| Top 250:
#9",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
10,"11.
Fight Club
(1999)",(1999),R,139 min,Drama,8.8,"66        
        Metascore",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"Votes:
2,169,476
| Gross:
$37.03M
| Top 250:
#12",David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
11,"12.
Forrest Gump
(1994)",(1994),PG-13,142 min,"Drama, Romance",8.8,"82        
        Metascore","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Votes:
2,120,605
| Gross:
$330.25M
| Top 250:
#11",Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
12,"13.
The Lord of the Rings: The Two Towers
(2002)",(2002),PG-13,179 min,"Action, Adventure, Drama",8.8,"87        
        Metascore","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Votes:
1,693,258
| Gross:
$342.55M
| Top 250:
#13",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
13,"14.
The Good, the Bad and the Ugly
(1966)",(1966),Approved,178 min,"Adventure, Western",8.8,"90        
        Metascore",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Votes:
772,882
| Gross:
$6.10M
| Top 250:
#10",Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
14,"18.
The Matrix
(1999)",(1999),R,136 min,"Action, Sci-Fi",8.7,"73        
        Metascore","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Votes:
1,944,934
| Gross:
$171.48M
| Top 250:
#16",Lana Wachowski,"['Lilly Wachowski', 'Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss']"
15,"19.
Goodfellas
(1990)",(1990),R,145 min,"Biography, Crime, Drama",8.7,"91        
        Metascore","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Votes:
1,183,044
| Gross:
$46.84M
| Top 250:
#17",Henry Hill,"['Martin Scorsese', 'Robert De Niro', 'Ray Liotta', 'Joe Pesci']"
16,"20.
One Flew Over the Cuckoo's Nest
(1975)",(1975),R,133 min,Drama,8.7,"84        
        Metascore","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","Votes:
1,022,801
| Gross:
$112.00M
| Top 250:
#18",Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']"
17,"21.
Star Wars: Episode V - The Empire Strikes Back
(1980)",(1980),PG,124 min,"Action, Adventure, Fantasy",8.7,"82        
        Metascore","After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Votes:
1,312,491
| Gross:
$290.48M
| Top 250:
#15",Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
18,"23.
Interstellar
(2014)",(2014),PG-13,169 min,"Adventure, Drama, Sci-Fi",8.6,"74        
        Metascore",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Votes:
1,888,532
| Gross:
$188.02M
| Top 250:
#25",Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
19,"24.
Se7en
(1995)",(1995),R,127 min,"Crime, Drama, Mystery",8.6,"65        
        Metascore","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Votes:
1,684,687
| Gross:
$100.13M
| Top 250:
#19",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
20,"25.
The Silence of the Lambs
(1991)",(1991),R,118 min,"Crime, Drama, Thriller",8.6,"86        
        Metascore","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Votes:
1,457,772
| Gross:
$130.74M
| Top 250:
#22",Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']"
21,"26.
Star Wars
(1977)",(1977),PG,121 min,"Action, Adventure, Fantasy",8.6,"90        
        Metascore","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Votes:
1,384,880
| Gross:
$322.74M
| Top 250:
#28",George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']"
22,"27.
Terminator 2: Judgment Day
(1991)",(1991),R,137 min,"Action, Sci-Fi",8.6,"75        
        Metascore","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg.","Votes:
1,116,443
| Gross:
$204.84M
| Top 250:
#29",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
23,"28.
The Green Mile
(1999)",(1999),R,189 min,"Crime, Drama, Fantasy",8.6,"61        
        Metascore","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Votes:
1,325,461
| Gross:
$136.80M
| Top 250:
#27",Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']"
24,"29.
Spirited Away
(2001)",(2001),PG,125 min,"Animation, Adventure, Family",8.6,"96        
        Metascore","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","Votes:
782,183
| Gross:
$10.06M
| Top 250:
#31",Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']"
25,"30.
Saving Private Ryan
(1998)",(1998),R,169 min,"Drama, War",8.6,"91        
        Metascore","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Votes:
1,414,639
| Gross:
$216.54M
| Top 250:
#23",Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']"
26,"31.
City of God
(2002)",(2002),R,130 min,"Crime, Drama",8.6,"79        
        Metascore","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Votes:
766,953
| Gross:
$7.56M
| Top 250:
#24",Fernando Meirelles,"['Kátia Lund', 'Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele']"
