Unnamed: 0,title,year,certificate,time,genre,rating,metascore,simple_desc,votes,directors,actors
18,"70.
Your Name.
(2016)",(2016),PG,106 min,"Animation, Drama, Fantasy",8.4,"79        
        Metascore","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Votes:
278,355
| Gross:
$5.02M
| Top 250:
#82",Makoto Shinkai,"['Ryunosuke Kamiki', 'Mone Kamishiraishi']"
19,"71.
Hamilton
(2020)",(2020),PG-13,160 min,"Biography, Drama, History",8.4,"89        
        Metascore","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","Votes:
98,977
| Top 250:
#107",Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo']"
20,"72.
Amadeus
(1984)",(1984),R,160 min,"Biography, Drama, Music",8.4,"88        
        Metascore","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.","Votes:
406,591
| Gross:
$51.97M
| Top 250:
#72",Wolfgang Amadeus Mozart,"['Antonio Salieri', 'Milos Forman']"
21,"73.
WALL·E
(2008)",(2008),G,98 min,"Animation, Adventure, Family",8.4,"95        
        Metascore","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Votes:
1,131,449
| Gross:
$223.81M
| Top 250:
#57",Andrew Stanton,"['Ben Burtt', 'Elissa Knight']"
22,"74.
3 Idiots
(2009)",(2009),PG-13,170 min,"Comedy, Drama",8.4,"67        
        Metascore","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Votes:
406,901
| Gross:
$6.53M
| Top 250:
#84",Rajkumar Hirani,"['Aamir Khan', 'Madhavan']"
23,"75.
The Lives of Others
(2006)",(2006),R,137 min,"Drama, Mystery, Thriller",8.4,"89        
        Metascore","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Votes:
393,949
| Gross:
$11.29M
| Top 250:
#58",Florian Henckel von Donnersmarck,"['Ulrich Mühe', 'Martina Gedeck']"
24,"76.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
(1964)",(1964),PG,95 min,"Comedy, War",8.4,"97        
        Metascore","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","Votes:
496,644
| Gross:
$0.28M
| Top 250:
#68",Stanley Kubrick,"['Peter Sellers', 'George C. Scott']"
25,"77.
Capernaum
(2018)",(2018),R,126 min,Drama,8.4,"75        
        Metascore","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","Votes:
93,221
| Gross:
$1.66M
| Top 250:
#88",Nadine Labaki,"['Zain Al Rafeea', 'Yordanos Shiferaw']"
26,"78.
Das Boot
(1981)",(1981),R,149 min,"Drama, War",8.4,"86        
        Metascore",A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,"Votes:
253,892
| Gross:
$11.49M
| Top 250:
#77",Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer']"
27,"79.
Sunset Blvd.
(1950)",(1950),Passed,110 min,"Drama, Film-Noir",8.4,"94        
        Metascore",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Votes:
225,056
| Top 250:
#59",Billy Wilder,"['William Holden', 'Gloria Swanson']"
28,"80.
Paths of Glory
(1957)",(1957),Approved,88 min,"Drama, War",8.4,"90        
        Metascore","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Votes:
200,545
| Top 250:
#60",Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker']"
29,"81.
Witness for the Prosecution
(1957)",(1957),Approved,116 min,"Crime, Drama, Mystery",8.4,"76        
        Metascore",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Votes:
127,973
| Gross:
$8.18M
| Top 250:
#64",Billy Wilder,"['Tyrone Power', 'Marlene Dietrich']"
30,"83.
High and Low
(1963)",(1963),Not Rated,143 min,"Crime, Drama, Mystery",8.4,"90        
        Metascore",An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"Votes:
46,904
| Top 250:
#86",Akira Kurosawa,"['Toshirô Mifune', 'Yutaka Sada']"
31,"84.
Top Gun: Maverick
(2022)",(2022),PG-13,130 min,"Action, Drama",8.3,"78        
        Metascore","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","Votes:
552,354
| Gross:
$718.73M
| Top 250:
#118",Joseph Kosinski,"['Tom Cruise', 'Jennifer Connelly']"
32,"85.
Good Will Hunting
(1997)",(1997),R,126 min,"Drama, Romance",8.3,"70        
        Metascore","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Votes:
990,513
| Gross:
$138.43M
| Top 250:
#81",Gus Van Sant,"['Robin Williams', 'Matt Damon']"
33,"86.
The Sting
(1973)",(1973),PG,129 min,"Comedy, Crime, Drama",8.3,"83        
        Metascore",Two grifters team up to pull off the ultimate con.,"Votes:
267,416
| Gross:
$159.60M
| Top 250:
#112",George Roy Hill,"['Paul Newman', 'Robert Redford']"
34,"87.
Inglourious Basterds
(2009)",(2009),R,153 min,"Adventure, Drama, War",8.3,"69        
        Metascore","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Votes:
1,474,408
| Gross:
$120.54M
| Top 250:
#71",Quentin Tarantino,"['Brad Pitt', 'Diane Kruger']"
35,"88.
Requiem for a Dream
(2000)",(2000),R,102 min,Drama,8.3,"71        
        Metascore",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"Votes:
854,180
| Gross:
$3.64M
| Top 250:
#85",Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto']"
36,"89.
Heat
(1995)",(1995),R,170 min,"Action, Crime, Drama",8.3,"76        
        Metascore",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,"Votes:
666,439
| Gross:
$67.44M
| Top 250:
#109",Michael Mann,"['Al Pacino', 'Robert De Niro']"
37,"90.
Eternal Sunshine of the Spotless Mind
(2004)",(2004),R,108 min,"Drama, Romance, Sci-Fi",8.3,"89        
        Metascore","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.","Votes:
1,022,211
| Gross:
$34.40M
| Top 250:
#90",Michel Gondry,"['Jim Carrey', 'Kate Winslet']"
38,"91.
2001: A Space Odyssey
(1968)",(1968),G,149 min,"Adventure, Sci-Fi",8.3,"84        
        Metascore","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000.","Votes:
678,699
| Gross:
$56.95M
| Top 250:
#91",Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood']"
39,"92.
A Clockwork Orange
(1971)",(1971),R,136 min,"Crime, Sci-Fi",8.3,"77        
        Metascore","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Votes:
840,648
| Gross:
$6.21M
| Top 250:
#103",Stanley Kubrick,"['Malcolm McDowell', 'Patrick Magee']"
40,"93.
Scarface
(1983)",(1983),R,170 min,"Crime, Drama",8.3,"65        
        Metascore","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Votes:
855,831
| Gross:
$45.60M
| Top 250:
#106",Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer']"
41,"94.
Reservoir Dogs
(1992)",(1992),R,99 min,"Crime, Thriller",8.3,"81        
        Metascore","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Votes:
1,033,174
| Gross:
$2.83M
| Top 250:
#93",Quentin Tarantino,"['Harvey Keitel', 'Tim Roth']"
42,"95.
Once Upon a Time in America
(1984)",(1984),R,229 min,"Crime, Drama",8.3,"75        
        Metascore","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Votes:
357,107
| Gross:
$5.32M
| Top 250:
#80",Sergio Leone,"['Robert De Niro', 'James Woods']"
43,"96.
The Hunt
(2012)",(2012),R,115 min,Drama,8.3,"77        
        Metascore","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","Votes:
337,117
| Gross:
$0.69M
| Top 250:
#94",Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen']"
44,"97.
Full Metal Jacket
(1987)",(1987),R,116 min,"Drama, War",8.3,"78        
        Metascore",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Votes:
752,083
| Gross:
$46.36M
| Top 250:
#105",Stanley Kubrick,"['Matthew Modine', 'R. Lee Ermey']"
45,"98.
Toy Story
(1995)",(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"96        
        Metascore",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Votes:
1,007,750
| Gross:
$191.80M
| Top 250:
#74",John Lasseter,"['Tom Hanks', 'Tim Allen']"
46,"99.
Star Wars: Episode VI - Return of the Jedi
(1983)",(1983),PG,131 min,"Action, Adventure, Fantasy",8.3,"58        
        Metascore","After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","Votes:
1,067,111
| Gross:
$309.13M
| Top 250:
#89",Richard Marquand,"['Mark Hamill', 'Harrison Ford']"
47,"100.
Lawrence of Arabia
(1962)",(1962),Approved,218 min,"Adventure, Biography, Drama",8.3,"100        
        Metascore","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Votes:
298,521
| Gross:
$44.82M
| Top 250:
#97",T.E. Lawrence,"['David Lean', ""Peter O'Toole""]"
0,"101.
Up
(2009)",(2009),PG,96 min,"Animation, Adventure, Comedy",8.3,"88        
        Metascore","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Votes:
1,058,526
| Gross:
$293.00M
| Top 250:
#111",Pete Docter,"['Bob Peterson', 'Edward Asner']"
1,"102.
Amélie
(2001)",(2001),R,122 min,"Comedy, Romance",8.3,"69        
        Metascore","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Votes:
764,760
| Gross:
$33.23M
| Top 250:
#102",Jean-Pierre Jeunet,"['Audrey Tautou', 'Mathieu Kassovitz']"
2,"103.
Incendies
(2010)",(2010),R,131 min,"Drama, Mystery",8.3,"80        
        Metascore",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Votes:
181,608
| Gross:
$6.86M
| Top 250:
#108",Denis Villeneuve,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin']"
3,"104.
Metropolis
(1927)",(1927),Not Rated,153 min,"Drama, Sci-Fi",8.3,"98        
        Metascore","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","Votes:
176,910
| Gross:
$1.24M
| Top 250:
#114",Fritz Lang,"['Brigitte Helm', 'Alfred Abel']"
4,"105.
Princess Mononoke
(1997)",(1997),PG-13,134 min,"Animation, Action, Adventure",8.3,"76        
        Metascore","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Votes:
401,905
| Gross:
$2.38M
| Top 250:
#79",Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida']"
5,"106.
Citizen Kane
(1941)",(1941),PG,119 min,"Drama, Mystery",8.3,"100        
        Metascore","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","Votes:
447,246
| Gross:
$1.59M
| Top 250:
#95",Orson Welles,"['Orson Welles', 'Joseph Cotten']"
6,"107.
Toy Story 3
(2010)",(2010),G,103 min,"Animation, Adventure, Comedy",8.3,"92        
        Metascore","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Votes:
847,248
| Gross:
$415.00M
| Top 250:
#87",Lee Unkrich,"['Tom Hanks', 'Tim Allen']"
7,"108.
Ikiru
(1952)",(1952),Not Rated,143 min,Drama,8.3,"91        
        Metascore",A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,"Votes:
80,676
| Gross:
$0.06M
| Top 250:
#99",Akira Kurosawa,"['Takashi Shimura', 'Nobuo Kaneko']"
8,"109.
Vertigo
(1958)",(1958),PG,128 min,"Mystery, Romance, Thriller",8.3,"100        
        Metascore","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","Votes:
407,742
| Gross:
$3.20M
| Top 250:
#100",Alfred Hitchcock,"['James Stewart', 'Kim Novak']"
9,"110.
The Apartment
(1960)",(1960),Approved,125 min,"Comedy, Drama, Romance",8.3,"94        
        Metascore","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Votes:
184,939
| Gross:
$18.60M
| Top 250:
#101",Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine']"
10,"111.
To Kill a Mockingbird
(1962)",(1962),Approved,129 min,"Crime, Drama",8.3,"88        
        Metascore","Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.","Votes:
320,100
| Top 250:
#110",Robert Mulligan,"['Gregory Peck', 'John Megna']"
11,"112.
Singin' in the Rain
(1952)",(1952),G,103 min,"Comedy, Musical, Romance",8.3,"99        
        Metascore",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Votes:
246,771
| Gross:
$8.82M
| Top 250:
#83",Stanley Donen,"['Gene Kelly', 'Gene Kelly']"
12,"113.
North by Northwest
(1959)",(1959),Approved,136 min,"Action, Adventure, Mystery",8.3,"98        
        Metascore","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.","Votes:
332,264
| Gross:
$13.28M
| Top 250:
#98",Alfred Hitchcock,"['Cary Grant', 'Eva Marie Saint']"
13,"114.
Judgment at Nuremberg
(1961)",(1961),Approved,179 min,"Drama, War",8.3,"60        
        Metascore","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Votes:
79,009
| Top 250:
#134",Stanley Kramer,"['Spencer Tracy', 'Burt Lancaster']"
14,"115.
A Separation
(2011)",(2011),PG-13,123 min,Drama,8.3,"95        
        Metascore",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,"Votes:
247,842
| Gross:
$7.10M
| Top 250:
#113",Asghar Farhadi,"['Payman Maadi', 'Leila Hatami']"
15,"117.
Double Indemnity
(1944)",(1944),Passed,107 min,"Crime, Drama, Film-Noir",8.3,"95        
        Metascore","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.","Votes:
159,634
| Gross:
$5.72M
| Top 250:
#104",Billy Wilder,"['Fred MacMurray', 'Barbara Stanwyck']"
16,"123.
The Wolf of Wall Street
(2013)",(2013),R,180 min,"Biography, Comedy, Crime",8.2,"75        
        Metascore","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Votes:
1,442,275
| Gross:
$116.90M
| Top 250:
#132",Jordan Belfort,"['Martin Scorsese', 'Leonardo DiCaprio']"
17,"124.
Spider-Man: No Way Home
(2021)",(2021),PG-13,148 min,"Action, Adventure, Fantasy",8.2,"71        
        Metascore","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Votes:
779,704
| Gross:
$804.75M
| Top 250:
#152",Jon Watts,"['Tom Holland', 'Zendaya']"
18,"125.
Jurassic Park
(1993)",(1993),PG-13,127 min,"Action, Adventure, Sci-Fi",8.2,"68        
        Metascore",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Votes:
1,003,976
| Gross:
$402.45M
| Top 250:
#144",Steven Spielberg,"['Sam Neill', 'Laura Dern']"
19,"126.
Green Book
(2018)",(2018),PG-13,130 min,"Biography, Comedy, Drama",8.2,"69        
        Metascore",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Votes:
508,731
| Gross:
$85.08M
| Top 250:
#133",Peter Farrelly,"['Viggo Mortensen', 'Mahershala Ali']"
20,"127.
Taxi Driver
(1976)",(1976),R,114 min,"Crime, Drama",8.2,"94        
        Metascore","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Votes:
850,981
| Gross:
$28.26M
| Top 250:
#115",Martin Scorsese,"['Robert De Niro', 'Jodie Foster']"
21,"128.
No Country for Old Men
(2007)",(2007),R,122 min,"Crime, Drama, Thriller",8.2,"92        
        Metascore",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Votes:
990,554
| Gross:
$74.28M
| Top 250:
#148",Ethan Coen,"['Joel Coen', 'Tommy Lee Jones']"
22,"129.
1917
(2019)",(2019),R,119 min,"Action, Drama, War",8.2,"78        
        Metascore","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Votes:
609,632
| Gross:
$159.23M
| Top 250:
#123",Sam Mendes,"['Dean-Charles Chapman', 'George MacKay']"
23,"130.
Shutter Island
(2010)",(2010),R,138 min,"Mystery, Thriller",8.2,"63        
        Metascore","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Votes:
1,342,388
| Gross:
$128.01M
| Top 250:
#142",Martin Scorsese,"['Leonardo DiCaprio', 'Emily Mortimer']"
24,"131.
There Will Be Blood
(2007)",(2007),R,158 min,Drama,8.2,"93        
        Metascore","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","Votes:
596,522
| Gross:
$40.22M
| Top 250:
#138",Paul Thomas Anderson,"['Daniel Day-Lewis', 'Paul Dano']"
25,"132.
Indiana Jones and the Last Crusade
(1989)",(1989),PG-13,127 min,"Action, Adventure",8.2,"65        
        Metascore","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.","Votes:
764,829
| Gross:
$197.17M
| Top 250:
#120",Steven Spielberg,"['Harrison Ford', 'Sean Connery']"
26,"133.
The Sixth Sense
(1999)",(1999),PG-13,107 min,"Drama, Mystery, Thriller",8.2,"64        
        Metascore","A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.","Votes:
1,003,717
| Gross:
$293.51M
| Top 250:
#141",M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment']"
27,"134.
Snatch
(2000)",(2000),R,102 min,"Comedy, Crime",8.2,"55        
        Metascore","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Votes:
867,022
| Gross:
$30.33M
| Top 250:
#119",Guy Ritchie,"['Jason Statham', 'Brad Pitt']"
28,"135.
Batman Begins
(2005)",(2005),PG-13,140 min,"Action, Crime, Drama",8.2,"70        
        Metascore","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Votes:
1,489,540
| Gross:
$206.85M
| Top 250:
#127",Christopher Nolan,"['Christian Bale', 'Michael Caine']"
29,"136.
Kill Bill: Vol. 1
(2003)",(2003),R,111 min,"Action, Crime, Drama",8.2,"69        
        Metascore","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Votes:
1,130,441
| Gross:
$70.10M
| Top 250:
#150",Quentin Tarantino,"['Uma Thurman', 'David Carradine']"
