Unnamed: 0,title,year,certificate,time,genre,rating,metascore,simple_desc,votes,directors,actors,title_url
50,"651.
Captain Fantastic
(2016)",(2016),R,118 min,"Comedy, Drama",7.8,"72        
        Metascore","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","Votes:
224,019
| Gross:
$5.88M",Matt Ross,"['Viggo Mortensen', 'George MacKay', 'Samantha Isler', 'Annalise Basso']",imdb.com/title/tt3553976/?ref_=adv_li_tt
51,"652.
Boyz n the Hood
(1991)",(1991),R,112 min,"Crime, Drama",7.8,"76        
        Metascore","Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.","Votes:
145,155
| Gross:
$57.50M",John Singleton,"['Cuba Gooding Jr.', 'Laurence Fishburne', 'Hudhail Al-Amir', 'Lloyd Avery II']",imdb.com/title/tt0101507/?ref_=adv_li_tt
52,"653.
I Saw the Devil
(2010)",(2010),Not Rated,144 min,"Action, Crime, Drama",7.8,"67        
        Metascore",A secret agent exacts revenge on a serial killer through a series of captures and releases.,"Votes:
135,733
| Gross:
$0.13M",Jee-woon Kim,"['Lee Byung-hun', 'Choi Min-sik', 'Jeon Gook-hwan', 'Ho-jin Chun']",imdb.com/title/tt1588170/?ref_=adv_li_tt
53,"654.
Thirteen Lives
(2022)",(2022),PG-13,147 min,"Action, Adventure, Biography",7.8,"66        
        Metascore",A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.,"Votes:
59,315",Ron Howard,"['Viggo Mortensen', 'Colin Farrell', 'Joel Edgerton', 'Tom Bateman']",imdb.com/title/tt12262116/?ref_=adv_li_tt
54,"655.
The Last Samurai
(2003)",(2003),R,154 min,"Action, Drama",7.8,"55        
        Metascore",An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,"Votes:
449,762
| Gross:
$111.11M",Edward Zwick,"['Tom Cruise', 'Ken Watanabe', 'Billy Connolly', 'William Atherton']",imdb.com/title/tt0325710/?ref_=adv_li_tt
55,"656.
Big Hero 6
(2014)",(2014),PG,102 min,"Animation, Action, Adventure",7.8,"74        
        Metascore","A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.","Votes:
472,817
| Gross:
$222.53M",Don Hall,"['Chris Williams', 'Ryan Potter', 'Scott Adsit', 'Jamie Chung']",imdb.com/title/tt2245084/?ref_=adv_li_tt
56,"657.
The Fighter
(I) (2010)",(I) (2010),R,116 min,"Action, Biography, Drama",7.8,"79        
        Metascore","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","Votes:
375,398
| Gross:
$93.62M",Micky Ward,"['David O. Russell', 'Mark Wahlberg', 'Christian Bale', 'Amy Adams']",imdb.com/title/tt0964517/?ref_=adv_li_tt
57,"658.
Awakenings
(1990)",(1990),PG-13,121 min,"Biography, Drama",7.8,"74        
        Metascore","The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.","Votes:
147,526
| Gross:
$52.10M",Penny Marshall,"['Robert De Niro', 'Robin Williams', 'Julie Kavner', 'Ruth Nelson']",imdb.com/title/tt0099077/?ref_=adv_li_tt
58,"659.
Moon
(2009)",(2009),R,97 min,"Drama, Mystery, Sci-Fi",7.8,"67        
        Metascore","Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.","Votes:
365,299
| Gross:
$5.01M",Duncan Jones,"['Sam Rockwell', 'Kevin Spacey', 'Dominique McElligott', 'Rosie Shaw']",imdb.com/title/tt1182345/?ref_=adv_li_tt
59,"660.
Walk the Line
(2005)",(2005),PG-13,136 min,"Biography, Drama, Music",7.8,"72        
        Metascore","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.","Votes:
256,206
| Gross:
$119.52M",Johnny Cash,"['Elvis Presley', 'Jerry Lee Lewis', 'Carl Perkins', 'James Mangold']",imdb.com/title/tt0358273/?ref_=adv_li_tt
60,"661.
Back to the Future Part II
(1989)",(1989),PG,108 min,"Adventure, Comedy, Sci-Fi",7.8,"57        
        Metascore","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.","Votes:
544,580
| Gross:
$118.50M",Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Tom Wilson']",imdb.com/title/tt0096874/?ref_=adv_li_tt
61,"662.
Gattaca
(1997)",(1997),PG-13,106 min,"Drama, Sci-Fi, Thriller",7.8,"64        
        Metascore",A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,"Votes:
310,590
| Gross:
$12.34M",Andrew Niccol,"['Ethan Hawke', 'Uma Thurman', 'Jude Law', 'Gore Vidal']",imdb.com/title/tt0119177/?ref_=adv_li_tt
62,"663.
Straight Outta Compton
(2015)",(2015),R,147 min,"Biography, Drama, History",7.8,"72        
        Metascore","The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.","Votes:
207,688
| Gross:
$161.20M",NWA,"['F. Gary Gray', ""O'Shea Jackson Jr."", 'Corey Hawkins', 'Jason Mitchell']",imdb.com/title/tt1398426/?ref_=adv_li_tt
63,"664.
Captain Phillips
(2013)",(2013),PG-13,134 min,"Action, Biography, Crime",7.8,"82        
        Metascore","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.","Votes:
470,385
| Gross:
$107.10M",Richard Phillips,"['Paul Greengrass', 'Tom Hanks', 'Barkhad Abdi', 'Barkhad Abdirahman']",imdb.com/title/tt1535109/?ref_=adv_li_tt
64,"665.
The Remains of the Day
(1993)",(1993),PG,134 min,"Drama, Romance",7.8,"86        
        Metascore",A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,"Votes:
77,747
| Gross:
$22.95M",James Ivory,"['Anthony Hopkins', 'Emma Thompson', 'John Haycraft', 'Christopher Reeve']",imdb.com/title/tt0107943/?ref_=adv_li_tt
65,"666.
Serenity
(2005)",(2005),PG-13,119 min,"Action, Adventure, Sci-Fi",7.8,"74        
        Metascore",The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,"Votes:
299,391
| Gross:
$25.51M",Joss Whedon,"['Nathan Fillion', 'Gina Torres', 'Chiwetel Ejiofor', 'Alan Tudyk']",imdb.com/title/tt0379786/?ref_=adv_li_tt
66,"667.
The Girl with the Dragon Tattoo
(2009)",(2009),R,152 min,"Crime, Drama, Mystery",7.8,"76        
        Metascore",A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,"Votes:
219,112
| Gross:
$10.10M",Niels Arden Oplev,"['Michael Nyqvist', 'Noomi Rapace', 'Ewa Fröling', 'Lena Endre']",imdb.com/title/tt1132620/?ref_=adv_li_tt
67,"668.
The Holy Mountain
(1973)",(1973),R,114 min,"Adventure, Drama, Fantasy",7.8,"76        
        Metascore","In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.","Votes:
44,946
| Gross:
$0.06M",Alejandro Jodorowsky,"['Alejandro Jodorowsky', 'Horacio Salinas', 'Zamira Saunders', 'Juan Ferrara']",imdb.com/title/tt0071615/?ref_=adv_li_tt
68,"669.
Midnight Cowboy
(1969)",(1969),R,113 min,Drama,7.8,"79        
        Metascore","A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.","Votes:
114,393
| Gross:
$44.79M",John Schlesinger,"['Dustin Hoffman', 'Jon Voight', 'Sylvia Miles', 'John McGiver']",imdb.com/title/tt0064665/?ref_=adv_li_tt
69,"670.
Gaslight
(1944)",(1944),Passed,114 min,"Crime, Drama, Mystery",7.8,"78        
        Metascore","Ten years after her aunt was murdered in their London home, a woman returns from Italy in the 1880s to resume residence with her new husband. His obsessive interest in the home rises from a secret that may require driving his wife insane.","Votes:
30,899",George Cukor,"['Charles Boyer', 'Ingrid Bergman', 'Joseph Cotten', 'May Whitty']",imdb.com/title/tt0036855/?ref_=adv_li_tt
70,"671.
The Conversation
(1974)",(1974),PG,113 min,"Drama, Mystery, Thriller",7.8,"87        
        Metascore","A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.","Votes:
115,131
| Gross:
$4.42M",Francis Ford Coppola,"['Gene Hackman', 'John Cazale', 'Allen Garfield', 'Frederic Forrest']",imdb.com/title/tt0071360/?ref_=adv_li_tt
71,"672.
How to Train Your Dragon 2
(2014)",(2014),PG,102 min,"Animation, Action, Adventure",7.8,"77        
        Metascore","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.","Votes:
345,020
| Gross:
$177.00M",Dean DeBlois,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson']",imdb.com/title/tt1646971/?ref_=adv_li_tt
72,"673.
Glory
(1989)",(1989),R,122 min,"Biography, Drama, History",7.8,"78        
        Metascore","Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.","Votes:
138,111
| Gross:
$26.83M",Robert Gould Shaw,"['Edward Zwick', 'Matthew Broderick', 'Denzel Washington', 'Cary Elwes']",imdb.com/title/tt0097441/?ref_=adv_li_tt
73,"674.
The Fall
(I) (2006)",(I) (2006),R,117 min,"Adventure, Drama, Fantasy",7.8,"64        
        Metascore","In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.","Votes:
113,981
| Gross:
$2.28M",Tarsem Singh,"['Lee Pace', 'Catinca Untaru', 'Justine Waddell', 'Kim Uylenbroek']",imdb.com/title/tt0460791/?ref_=adv_li_tt
74,"675.
Cabaret
(1972)",(1972),PG,124 min,"Drama, Music, Musical",7.8,"80        
        Metascore",A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,"Votes:
56,791
| Gross:
$42.77M",Bob Fosse,"['Liza Minnelli', 'Michael York', 'Helmut Griem', 'Joel Grey']",imdb.com/title/tt0068327/?ref_=adv_li_tt
75,"676.
The Insider
(1999)",(1999),R,157 min,"Biography, Drama, Thriller",7.8,"84        
        Metascore",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,"Votes:
174,169
| Gross:
$28.97M",Michael Mann,"['Russell Crowe', 'Al Pacino', 'Christopher Plummer', 'Diane Venora']",imdb.com/title/tt0140352/?ref_=adv_li_tt
76,"677.
Changeling
(2008)",(2008),R,141 min,"Biography, Crime, Drama",7.8,"63        
        Metascore",Grief-stricken mother Christine Collins takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.,"Votes:
259,125
| Gross:
$35.74M",Clint Eastwood,"['Angelina Jolie', 'Colm Feore', 'Amy Ryan', 'Gattlin Griffith']",imdb.com/title/tt0824747/?ref_=adv_li_tt
77,"678.
Kiki's Delivery Service
(1989)",(1989),G,103 min,"Animation, Family, Fantasy",7.8,"83        
        Metascore","A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.","Votes:
150,270",Hayao Miyazaki,"['Kirsten Dunst', 'Minami Takayama', 'Rei Sakuma', 'Kappei Yamaguchi']",imdb.com/title/tt0097814/?ref_=adv_li_tt
78,"679.
Hunt for the Wilderpeople
(2016)",(2016),PG-13,101 min,"Adventure, Comedy, Drama",7.8,"81        
        Metascore",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,"Votes:
134,295
| Gross:
$5.20M",Taika Waititi,"['Sam Neill', 'Julian Dennison', 'Rima Te Wiata', 'Rachel House']",imdb.com/title/tt4698684/?ref_=adv_li_tt
79,"680.
Ed Wood
(1994)",(1994),R,127 min,"Biography, Comedy, Drama",7.8,"70        
        Metascore","Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.","Votes:
179,116
| Gross:
$5.89M",Edward D. Wood Jr.,"['Tim Burton', 'Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker']",imdb.com/title/tt0109707/?ref_=adv_li_tt
80,"681.
My Fair Lady
(1964)",(1964),G,170 min,"Drama, Family, Musical",7.8,"95        
        Metascore","In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society.","Votes:
97,953
| Gross:
$72.00M",George Cukor,"['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway', 'Wilfrid Hyde-White']",imdb.com/title/tt0058385/?ref_=adv_li_tt
81,"682.
The Best Offer
(2013)",(2013),R,131 min,"Crime, Drama, Mystery",7.8,"49        
        Metascore",A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,"Votes:
122,552
| Gross:
$0.09M",Giuseppe Tornatore,"['Geoffrey Rush', 'Jim Sturgess', 'Sylvia Hoeks', 'Donald Sutherland']",imdb.com/title/tt1924396/?ref_=adv_li_tt
82,"683.
The Outlaw Josey Wales
(1976)",(1976),PG,135 min,Western,7.8,"69        
        Metascore",Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,"Votes:
75,980
| Gross:
$31.80M",Clint Eastwood,"['Clint Eastwood', 'Sondra Locke', 'Chief Dan George', 'Bill McKinney']",imdb.com/title/tt0075029/?ref_=adv_li_tt
83,"684.
October Sky
(1999)",(1999),PG,108 min,"Biography, Drama, Family",7.8,"71        
        Metascore","The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.","Votes:
93,961
| Gross:
$32.48M",Joe Johnston,"['Jake Gyllenhaal', 'Chris Cooper', 'Laura Dern', 'Chris Owen']",imdb.com/title/tt0132477/?ref_=adv_li_tt
84,"685.
The King of Comedy
(1982)",(1982),PG,109 min,"Comedy, Crime, Drama",7.8,"73        
        Metascore","Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.","Votes:
108,328
| Gross:
$2.50M",Martin Scorsese,"['Robert De Niro', 'Jerry Lewis', 'Diahnne Abbott', 'Sandra Bernhard']",imdb.com/title/tt0085794/?ref_=adv_li_tt
85,"686.
Mississippi Burning
(1988)",(1988),R,128 min,"Crime, Drama, Mystery",7.8,"65        
        Metascore",Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,"Votes:
103,726
| Gross:
$34.60M",Alan Parker,"['Gene Hackman', 'Willem Dafoe', 'Frances McDormand', 'Brad Dourif']",imdb.com/title/tt0095647/?ref_=adv_li_tt
86,"687.
Kramer vs. Kramer
(1979)",(1979),PG,105 min,Drama,7.8,"77        
        Metascore","After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation.","Votes:
148,783
| Gross:
$106.26M",Robert Benton,"['Dustin Hoffman', 'Meryl Streep', 'Jane Alexander', 'Justin Henry']",imdb.com/title/tt0079417/?ref_=adv_li_tt
87,"688.
Dawn of the Dead
(1978)",(1978),Unrated,127 min,"Horror, Thriller",7.8,"71        
        Metascore","During an escalating zombie epidemic, two Philadelphia SWAT team members, a traffic reporter and his TV executive girlfriend seek refuge in a secluded shopping mall.","Votes:
123,668
| Gross:
$5.10M",George A. Romero,"['David Emge', 'Ken Foree', 'Scott H. Reiniger', 'Gaylen Ross']",imdb.com/title/tt0077402/?ref_=adv_li_tt
88,"689.
Night of the Living Dead
(1968)",(1968),Not Rated,96 min,"Horror, Thriller",7.8,"89        
        Metascore",A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,"Votes:
132,603
| Gross:
$0.09M",George A. Romero,"['Duane Jones', ""Judith O'Dea"", 'Karl Hardman', 'Marilyn Eastman']",imdb.com/title/tt0063350/?ref_=adv_li_tt
89,"690.
The Right Stuff
(1983)",(1983),PG,193 min,"Adventure, Biography, Drama",7.8,"91        
        Metascore","The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred.","Votes:
62,750
| Gross:
$21.50M",Philip Kaufman,"['Sam Shepard', 'Scott Glenn', 'Ed Harris', 'Dennis Quaid']",imdb.com/title/tt0086197/?ref_=adv_li_tt
90,"691.
Once
(I) (2007)",(I) (2007),R,86 min,"Drama, Music, Romance",7.8,"90        
        Metascore","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.","Votes:
118,408
| Gross:
$9.44M",John Carney,"['Glen Hansard', 'Markéta Irglová', 'Hugh Walsh', 'Gerard Hendrick']",imdb.com/title/tt0907657/?ref_=adv_li_tt
91,"692.
Breaking the Waves
(1996)",(1996),R,159 min,Drama,7.8,"81        
        Metascore","Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.","Votes:
68,849
| Gross:
$4.04M",Lars von Trier,"['Emily Watson', 'Stellan Skarsgård', 'Katrin Cartlidge', 'Jean-Marc Barr']",imdb.com/title/tt0115751/?ref_=adv_li_tt
92,"693.
All That Jazz
(1979)",(1979),R,123 min,"Drama, Music, Musical",7.8,"72        
        Metascore","Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.","Votes:
33,217
| Gross:
$37.82M",Bob Fosse,"['Bob Fosse', 'Roy Scheider', 'Jessica Lange', 'Ann Reinking']",imdb.com/title/tt0078754/?ref_=adv_li_tt
