,ratings,reviews,usefulness_rating,name,id,reviews_clean
2258,7,"If this movie has a downside, and many of the reviewers here think it does, I think it tries to be ambitious to a fault trying to top it's predecessor, ""Ocean's Eleven"". This was no more evident than in the gimmick to raise the level of a building by three inches using some underwater hydraulic contraptions. I couldn't follow the logistics of that escapade, much less think it was feasible at all, but the sheer audacity of the idea sounded compelling as all get out. But come on, Linus Caldwell's (Matt Damon) idea for a 'lookie-loo and a bundle of joy' was brilliant; who else would have come up with the idea of Julia Roberts impersonating Julia Roberts in a movie? It was almost as good as Bruce Campbell portraying Elvis Presley who in turn impersonates an Elvis Presley impersonator in 2002's ""Bubba Ho-Tep"". Try wrapping your heard around that one. So Julia Roberts provides the number '12' in this outing, which reunites the usual gang of idiots from the first movie. Good to see Don Cheadle got his own credit for the flick this time around. I will agree that there's a lot to be confused about in the story if you're not paying attention, so you need to be glued to the picture throughout. Noteworthy scenes include Tess's (Roberts) encounter with Bruce Willis (as himself), and Vincent Cassel's turn as a slow motion break-dancer doing the laser field jump.  In the end, the caper turns out to be almost secondary to the zaniness involved in all of this. None of it's believable at all, but what was believable about ""Ocean's Eleven"" when you come right down to it? Leave your brain at the door and just enjoy the flick for the camaraderie and fun involved with the Ocean crew. It's easier that way. ",0.9090909090909092,Ocean's Twelve,tt0349903,if this movie has a downside and many of the reviewers here think it does i think it tries to be ambitious to a fault trying to top its predecessor oceans eleven this was no more evident than in the gimmick to raise the level of a building by three inches using some underwater hydraulic contraptions i couldnt follow the logistics of that escapade much less think it was feasible at all but the sheer audacity of the idea sounded compelling as all get out but come on linus caldwells matt damon idea for a lookie loo and a bundle of joy was brilliant who else would have come up with the idea of julia roberts impersonating julia roberts in a movie it was almost as good as bruce campbell portraying elvis presley who in turn impersonates an elvis presley impersonator in s bubba ho tep try wrapping your heard around that one so julia roberts provides the number in this outing which reunites the usual gang of idiots from the first movie good to see don cheadle got his own credit for the flick this time around i will agree that theres a lot to be confused about in the story if youre not paying attention so you need to be glued to the picture throughout noteworthy scenes include tesss roberts encounter with bruce willis as himself and vincent cassels turn as a slow motion break dancer doing the laser field jump in the end the caper turns out to be almost secondary to the zaniness involved in all of this none of its believable at all but what was believable about oceans eleven when you come right down to it leave your brain at the door and just enjoy the flick for the camaraderie and fun involved with the ocean crew its easier that way
2259,5,No review,-1.0,Ocean's Twelve,tt0349903,no review
2260,5,"George : Hey guys, remember that movie we all did a few years back called Ocean's Eleven? Brad : Course we do, we had such a great time. Julia : And let's not forget we made stacks of money on it. It was a hit! George : Well here's an idea.Let's make a sequel! Matt : Fantastic idea! I mean the first one had all of us in it but most of all it was directed, had cool music, had lots of us in it and had a great script. Brad : The script? Oh yeah, the script, whatever. Julia : Let's do it. Everyone will love seeing us mugging it up on the screen. Steven Soderbergh's a friend of mine so he'll love directing us again. George : Yeah, he'll do it. He won't have to work too hard though because it's got us in it. In fact he can just stuff around and experiment with all sorts of stupid camera angles. Matt : Won't that just confuse the audience and make them dizzy? George : Stuff that! Just so long as everyone can make out it's us up there on the screen they'll love it! Matt : And the music?? Brad : Pfft! Music? No one goes to the movies for music. They want to see stars. Like us! Let's just have any old stupid music for this one. Matt : That's fine. What about the script? Brad : What is it with you and the script? Hey here's an idea. Julia, you're so famous and wonderful Julia : So are you Brad. Brad : Thanks Julia. What I was saying was how about we have an entire sequence where your character pretends to be you! Everyone knows you're fantastic so they'll love it! Matt : Great idea Brad. How do we fit that into the script? George : Who cares??? It's Julia! Everyone will love it! Julia : OK. How about we get someone else as famous and wonderful as us to join in the cast? The audience will love that. George : Yeah, let's get Bruce Willis in a pointless uncredited cameo. He's never been too fussy about what movies he's made before. He's bound to say yes. Matt : How do we fit him into the script? George : Who cares??? It's Bruce Willis. Everyone will love it! Julia : OK, who else? Brad : I'm way ahead of you here, Julia. I've got a famous wife so let's get someone who is famous and wonderful, with a famous husband and who they audience will love if they see her and I having a romantic scene. All : Catherine Zeta Jones! George : I'll call her and see.  (Ring Ring) Catherine : Hello. George : Hi Catherine, George Clooney here. You might remember working with me in Intolerable Crueltythe audience loved it! Catherine : Hi George. What's up? George : We're making a sequel to Ocean's Eleven. It's got me and Brad and Julia and Matt in it. How'd you like to be in it too? Catherine : Yeah sure. What's it about? George : Who cares?? It's got me and Brad and Julia and Matt and you in it!! Catherine : OK. But how about we film it in Europe? The audience will love that! George : It's a deal. See ya. Catherine : Bye Julia : So how'd it go? George : She's in AND she had a great idea. She reckons we could film it somewhere in Europe. Brad : Fantastic! Matt : So how does that fit into the script? Julia : Who cares about the script!! It's got us in it! And anyone who liked Ocean's Eleven will get sucked into seeing it and by then it's too late for them to worry about the script because they've already paid their money. George : And besides they'll love it because it's got me and Julia and Matt and Brad AND Catherine in it AND it will be filmed in Europe. Everyone will love it! Matt : Great. Let's do it!! you get the idea. ",969.0,Ocean's Twelve,tt0349903,george hey guys remember that movie we all did a few years back called oceans eleven brad course we do we had such a great time julia and lets not forget we made stacks of money on it it was a hit george well heres an idea lets make a sequel matt fantastic idea i mean the first one had all of us in it but most of all it was directed had cool music had lots of us in it and had a great script brad the script oh yeah the script whatever julia lets do it everyone will love seeing us mugging it up on the screen steven soderberghs a friend of mine so hell love directing us again george yeah hell do it he wont have to work too hard though because its got us in it in fact he can just stuff around and experiment with all sorts of stupid camera angles matt wont that just confuse the audience and make them dizzy george stuff that just so long as everyone can make out its us up there on the screen theyll love it matt and the music brad pfft music no one goes to the movies for music they want to see stars like us lets just have any old stupid music for this one matt thats fine what about the script brad what is it with you and the script hey heres an idea julia youre so famous and wonderful julia so are you brad brad thanks julia what i was saying was how about we have an entire sequence where your character pretends to be you everyone knows youre fantastic so theyll love it matt great idea brad how do we fit that into the script george who cares its julia everyone will love it julia ok how about we get someone else as famous and wonderful as us to join in the cast the audience will love that george yeah lets get bruce willis in a pointless uncredited cameo hes never been too fussy about what movies hes made before hes bound to say yes matt how do we fit him into the script george who cares its bruce willis everyone will love it julia ok who else brad im way ahead of you here julia ive got a famous wife so lets get someone who is famous and wonderful with a famous husband and who they audience will love if they see her and i having a romantic scene all catherine zeta jones george ill call her and see ring ring catherine hello george hi catherine george clooney here you might remember working with me in intolerable crueltythe audience loved it catherine hi george whats up george were making a sequel to oceans eleven its got me and brad and julia and matt in it howd you like to be in it too catherine yeah sure whats it about george who cares its got me and brad and julia and matt and you in it catherine ok but how about we film it in europe the audience will love that george its a deal see ya catherine bye julia so howd it go george shes in and she had a great idea she reckons we could film it somewhere in europe brad fantastic matt so how does that fit into the script julia who cares about the script its got us in it and anyone who liked oceans eleven will get sucked into seeing it and by then its too late for them to worry about the script because theyve already paid their money george and besides theyll love it because its got me and julia and matt and brad and catherine in it and it will be filmed in europe everyone will love it matt great lets do it you get the idea
2261,-1,"Three years after Ocean's Eleven the gang's all back for more in this sequel. This time around the elusive group of thieves and con artists reunite and travel abroad to Europe to pull off another elaborate heist after vengeful casino mogul Terry Benedict (García) tracks them down looking for reimbursement. Little do they dream that they'll face stiff competition from a self-proclaimed criminal mastermind (Cassel) who's determined to try and upstage them. The latest in a long line of tepid Hollywood sequels; the cast may have had fun making this film but that doesn't mean the audience will as it drags on for over two hours with endless story lulls, self-conscious humor, and banal dialogue. One particularly embarrassing in-joke falls flat and leaves you wondering just how desperate the producers were to earn cheap laughs. The same group of gifted actors that made the original so special are wasted here, as the needlessly convoluted ""script"" lacks any wit, style, or sense of purpose. ** ",0.6187683284457478,Ocean's Twelve,tt0349903,three years after oceans eleven the gangs all back for more in this sequel this time around the elusive group of thieves and con artists reunite and travel abroad to europe to pull off another elaborate heist after vengeful casino mogul terry benedict garcía tracks them down looking for reimbursement little do they dream that theyll face stiff competition from a self proclaimed criminal mastermind cassel whos determined to try and upstage them the latest in a long line of tepid hollywood sequels the cast may have had fun making this film but that doesnt mean the audience will as it drags on for over two hours with endless story lulls self conscious humor and banal dialogue one particularly embarrassing in joke falls flat and leaves you wondering just how desperate the producers were to earn cheap laughs the same group of gifted actors that made the original so special are wasted here as the needlessly convoluted script lacks any wit style or sense of purpose
2262,6,No review,-1.0,Ocean's Twelve,tt0349903,no review
2263,6,"The 2001 remake of Lewis Milestone's ""Ocean's Eleven"" is a good adventure, with action, comedy and thriller in an updated screenplay. When this sequel was released, I was impressed with the number of stars and locations mostly in Europe, and certainly a huge budget. Unfortunately, this movie does not have the most relevant component: a decent screenplay. The beginning is confused and most of the situations and dialogs are not funny, being indeed ridiculous; when the execution of the heist is disclosed in the end, it is ludicrous; and the absurd plot itself is totally unbelievable and does not work. The direction is also very bad, with horrible and weird movements of camera. Steven Soderbergh began his career with exceptional works, but his last films are very deceptive (""Full Frontal""(2002); ""Solaris""(2002)). My vote is six. Title (Brazil): ""Doze Homens e Outro Segredo"" (""Twelve Men and Other Secret"") ",0.5576923076923077,Ocean's Twelve,tt0349903,the remake of lewis milestones oceans eleven is a good adventure with action comedy and thriller in an updated screenplay when this sequel was released i was impressed with the number of stars and locations mostly in europe and certainly a huge budget unfortunately this movie does not have the most relevant component a decent screenplay the beginning is confused and most of the situations and dialogs are not funny being indeed ridiculous when the execution of the heist is disclosed in the end it is ludicrous and the absurd plot itself is totally unbelievable and does not work the direction is also very bad with horrible and weird movements of camera steven soderbergh began his career with exceptional works but his last films are very deceptive full frontal solaris my vote is six title brazil doze homens e outro segredo twelve men and other secret
2264,6,No review,-1.0,Ocean's Twelve,tt0349903,no review
2265,7,"It's not as great as the original, but it still features all the things that made it good - interesting plots, enticing story and cool characters. Good fun that takes you along for a ride. ",0.8,Ocean's Twelve,tt0349903,its not as great as the original but it still features all the things that made it good interesting plots enticing story and cool characters good fun that takes you along for a ride
2266,8,No review,-1.0,Ocean's Twelve,tt0349903,no review
2267,6,No review,-1.0,Ocean's Twelve,tt0349903,no review
